,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,9.4,78.58,9.17,21.33,50.51,28.43,27.15,44.42,162.45,22.53,7.99,74.61,53.1,14.36,43.145
identified_templates,9.0,117.0,6.0,49.0,106.0,72.0,43.0,44.0,316.0,25.0,33.0,152.0,112.0,14.0,78.429
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.526,0.749,1.0,0.989,0.98,0.9,1.0,0.903,0.835,0.996,0.922,0.677,0.967,1.0,0.889
PA,0.0,0.451,1.0,0.667,0.47,0.553,0.47,0.657,0.406,0.992,0.883,0.885,0.923,0.5,0.633
FGA,0.824,0.936,1.0,0.869,0.909,0.939,1.0,0.889,0.877,0.941,0.87,0.91,0.888,1.0,0.918
PTA,0.0,0.632,1.0,0.51,0.66,0.639,0.837,0.591,0.487,0.72,0.727,0.539,0.634,0.357,0.595
RTA,0.0,0.627,1.0,0.5,0.614,0.613,0.837,0.565,0.452,0.692,0.667,0.55,0.592,0.357,0.576
FTA,0.0,0.63,1.0,0.505,0.636,0.626,0.837,0.578,0.469,0.706,0.696,0.545,0.612,0.357,0.585
