EventId,EventTemplate,Occurrences
3aa50e45,instruction cache parity error corrected,42
6265c739,<*> double-hummer alignment exceptions,109
65f23e3e,"CE sym <*>, at <*>, mask <*>",92
183ff96a,ciod: failed to read message prefix on control stream (CioStream socket to <*>:<*>,3
fc5f0940,generating core.<*>,721
cf145002,force load/store alignment...............<*>,2
d0b6392f,ciod: cpu <*> at treeaddr <*> sent unrecognized message 0xffffffff,1
4a680747,ciod: LOGIN chdir(<*>) failed: No such file or directory,18
f2cc7055,"<*> ddr error(s) detected and corrected on rank <*>, symbol <*>",25
38a7307d,data TLB error interrupt,60
e872bbe9,ciod: Message code <*> is not <*> or <*>,1
d2c9db9b,data storage interrupt,30
a31b789f,instruction address: <*>,21
ac8a6999,data address: 0x00000002,8
614cf99e,machine check: i-fetch......................<*>,5
073c2235,program interrupt: illegal instruction......<*>,5
cce08081,exception syndrome register: <*>,6
9851467f,data store interrupt caused by <*>,10
5f7a3f75,program interrupt: privileged instruction...0,2
93e2530b,program interrupt: trap instruction.........<*>,1
cc8ff6de,program interrupt: <*> <*>,13
abff2903,store operation.............................<*>,2
4f884f50,machine state register: 0x00002000,4
618cefb8,"problem state (<*>=sup,<*>=usr).......<*>",3
47ced713,floating point instr. enabled.....<*>,4
b48b277c,auxiliary processor.........................<*>,5
df5acbfe,machine check enable..............<*>,2
f4a80ec4,floating pt ex mode <*> enable......<*>,5
4aa10e18,debug interrupt enable............<*>,1
d8f41a22,byte ordering exception.....................<*>,2
02430fd4,data address space................<*>,5
e19f7ea0,core configuration register: 0x00002000,7
87710483,program interrupt: fp cr update.............<*>,1
1335bf9d,guaranteed instruction cache block touch.0,2
41c5149c,program interrupt: fp cr field .............<*>,4
504ff5e1,guaranteed data cache block touch........<*>,1
3777cdd1,icache prefetch <*>,3
493f6190,wait state enable.................<*>,1
1c2a9320,critical input interrupt enable...0,1
f7c382bd,special purpose registers:,1
870bed67,lr:00004ed0 cr:<*> xer:<*> ctr:<*>,1
af999985,rts internal error,1
3a77b37e,debug wait enable.................<*>,2
0b246110,instruction address space.........<*>,1
c5b54ac5,disable store gathering..................<*>,3
147cfcff,total of <*> ddr error(s) detected and corrected,13
6f3620a4,"ciod: Error loading <*>: invalid or missing program image, No such file or directory",21
d024d78d,ciod: Error creating node map from file /p/gb2/cabot/miranda/newmaps/8k_128x64x1_8x4x4.map: No child processes,1
0d02c0e2,program interrupt,3
a2335b6b,Node card is not fully functional,6
fd9a326d,ciod: Error creating node map from file /p/gb2/welcome3/32k_128x256x1_8x4x4.map: Bad file descriptor,1
113dc340,Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=<*> <*>,5
9d5d6232,Can not get assembly information for node card,6
c1646a49,ciod: Missing or invalid fields on line <*> of node map file <*>,2
c70dad25,<*> torus receiver <*> input pipe error(s) (dcr <*>) detected and corrected,4
d0217b34,ciod: duplicate canonical-rank <*> to logical-rank <*> mapping at line <*> of node map file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-sweep/sweep.map,1
f582ab6c,ciod: Error creating node map from file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-xyzt/xyzt.map: Block device required,1
220716fc,rts panic! - stopping execution,2
