EventId,EventTemplate,Occurrences
f5742434,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1
9164cc5d,Component State Change: Component \042alt0\042 is in the unavailable state (HWID<*>),11
7420bcff,clusterAddMember (command <*>),2
c4b885bc,risBoot (command <*>),1
6f18ab31,bootGenvmunix  (command <*>),2
eb964ae5,boot  (command <*>),67
845612e4,wait  (command <*>),66
e11b67b4,halt  (command <*>),3
b4e25afc,Command has completed successfully,10
4bd80e75,Targeting domains:<*> and nodes:node-[<*>] child of command <*>,5
0c9a99fa,Targeting domains:<*> and nodes:<*>,4
78fe0fa3,psu failure\ ambient<*>,5
3b219fff,Temperature (41C) exceeds warning threshold,2
97e2eb74,ClusterFileSystem: There is no server for ServerFileSystem domain <*>,32
e8542f2b,NIFF: node <*> detected a failed network connection on network <*> via interface alt0,2
291f390d,ServerFileSystem: An ServerFileSystem domain panic has occurred on storage442,1
27eab568,Fan speeds ( <*> ),90
5452c51c,Command has been aborted,1
e13d082a,power/control problem,1
ec4e03ec,Link error,13
db5aa7f9,Link in reset,9
641961b9,Link ok,13
13afdb97,Link error on broadcast tree <*>,4
a8108a6e,ServerFileSystem: ServerFileSystem domain <*> is full,12
bafedd1e,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node <*>,36
75101dcd,running,162
61326117,blocked,15
b02b9741,not responding,60
8cfafe98,configured out,91
079715ed,inconsistent nodesets <*>,4
c76a5e84,active,5
252f035f,not-responding,1
1ee85f6c,starting,1
3b38bec1,closing,1
fea08751,normal,206
7b83d3f0,warning,205
92f0ab0d,ambient<*>,292
7e85bcb6,critical,20
9050ee25,Linkerror event interval expired,394
7eff77c0,risBoot (command <*>) Error: Timed out while waiting for SRM prompt: <ABORT code completed>,1
7ba64685,boot (command <*>) Error: HALT asserted\  cannot continue,1
bd82b62d,Failed subcommands <*>,1
551adf73,link errors remain current,56
1257c799,NIFF: node <*> has detected an available network connection on network <*> via interface <*>,91
