EventId,EventTemplate,Occurrences
aa171447,Created MRAppMaster for application <*>,1
3c5bb15c,Executing with tokens:,1
42b437aa,"Kind: <*>, Service: , Ident: (appAttemptId { <*> { id: <*> <*>: <*> } attemptId: <*> } keyId: <*>)",1
0594ecc2,Using mapred newApiCommitter.,1
c0c8618d,OutputCommitter set in config null,1
d79644a2,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,1
3a2b3aef,Registering class <*> for class <*>,9
8ea261c5,Default file system [<*>],3
3a03968c,Emitting job history data to the timeline server is not enabled,1
ca7d7941,loaded properties from hadoop-metrics2.properties,1
4dc89700,Scheduled snapshot period at <*> second(s).,1
fc657c96,MRAppMaster metrics system started,1
9c396752,Adding job token for <*> to jobTokenSecretManager,1
ce54fccc,Not uberizing <*> because: not enabled; too many maps; too much input;,1
655c64ba,Input size for job <*> = <*> Number of splits = <*>,1
70d3f175,Number of reduces for job <*> = <*>,1
f3599c77,<*> Transitioned from NEW to INITED,1
db930ec6,"MRAppMaster launching normal, non-uberized, multi-container job <*>.",1
916d4a74,Using callQueue class java.util.concurrent.LinkedBlockingQueue,2
e5777033,Starting Socket Reader <*> for port <*>,2
8c4d0a72,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,1
81b07bff,Instantiated MRClientService at <*>,1
ccc17099,IPC Server Responder: starting,2
73b103d7,IPC Server listener on <*>: starting,2
a79a1702,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,1
0859dbfb,Http request log for http.requests.mapreduce is not defined,1
a8927e0e,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),1
a4aa7060,Added filter <*> (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context <*>,2
c5e95c21,adding path spec: <*>,2
8aa20788,Jetty bound to port <*>,1
6b77fa65,jetty-6.1.26,1
41d922b9,Extract jar:file:<*> to <*>,1
37897a89,Started HttpServer2$SelectChannelConnectorWithSafeStartup@<*>:<*>,1
01425cf2,Web app /mapreduce started at <*>,1
5ba9445a,Registered webapp guice modules,1
dede275d,<*> <*>,11
8b1732f5,nodeBlacklistingEnabled:true,1
07a75a5d,maxTaskFailuresPerNode is <*>,1
168a0869,blacklistDisablePercent is <*>,1
77ad6328,Connecting to ResourceManager at msra-sa-41/<*>:<*>,1
da27fd39,"maxContainerCapability: <memory:<*>, vCores:32>",1
62365dbe,queue: default,1
293bdc87,Upper limit on the thread pool size is <*>,1
7fbe270e,yarn.client.max-cached-nodemanagers-proxies : <*>,1
31af1a9d,<*> Transitioned from INITED to SETUP,1
8825a75c,Processing the event EventType: <*>,3
f0cce7ce,<*> Transitioned from SETUP to RUNNING,1
6659e8b0,Resolved <*> to /default-rack,39
af0da6f2,<*> Task Transitioned from NEW to SCHEDULED,11
83c1b8ed,<*> TaskAttempt Transitioned from NEW to UNASSIGNED,11
f0e0e2b7,"mapResourceRequest:<memory:<*>, vCores:1>",1
4e4848d7,"Event Writer setup for JobId: <*>, File: <*><*>/<*>.jhist",1
d7b9471a,"reduceResourceRequest:<memory:<*>, vCores:1>",1
f3cfcdcd,Before Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,5
27449a81,"getResources() for <*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*> knownNMs=<*>",12
78cf9e57,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>",131
1fbfd66f,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,130
0f71bb1f,Got allocated containers <*>,10
