EventId,EventTemplate,Occurrences
04aac0ae,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = <*> unplug = <*>,36
f42dcd96,Thermal pressure state: <*> Memory pressure state: <*>,39
eb85ad07,FA||Url||taskID[<*>] dealloc,17
825ffc11,ARPT: <*>: AirPort_Brcm43xx::<*>: WWEN[<*>],39
b21be901,ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],1
059c10aa,mDNS_DeregisterInterface: Frequent transitions for interface <*> (<*>),5
c3644029,"ARPT: <*>: IOPMPowerSource Information: <*>,  SleepType: Normal Sleep,  'ExternalConnected': <*>, 'TimeRemaining': <*>,",18
82f04cc6,"ARPT: <*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>",6
c8276cce,ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload,9
e1a13d73,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,16
92121a91,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,15
90912ed1,"ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs",9
dff6d2b2,AppleCamIn::systemWakeCall - messageType = <*>,56
91eeaa24,setting hostname to <*>,7
8c3389f0,"<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",166
18868d3c,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>,7
0cfccd21,[<*>:<*>:<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,3
f1363fab,AirPort: Link Down on awdl0. Reason <*> (Unspecified).,7
f85e7323,"PM response took <*> ms (<*>, <*>)",11
64207ad9,"ARPT: <*>: wl0: Roamed or switched channel, reason <*>, bssid <*>:<*>:<*>:<*>:<*>:<*>, last RSSI <*>",4
f09b7e9d,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>,15
7c9ca2b5,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",11
8274cb77,"network_reachability_changed : network is not reachable, netbiosd is shutting down",1
2d0d617f,CCFile::captureLogRun() Exiting CCFile::captureLogRun,22
4d1f6eb1,<*>(<*>) deny <*> <*>,35
b1a2ee5e,ARPT: <*>: wl0: MDNS: IPV6 Addr: <*>:<*>:<*>:<*>:<*>:<*>:<*>:<*>,28
de1b8e5e,AirPort: Link Up on <*>,13
7b5e1a51,Sandbox: <*>(<*>) deny(<*>) <*> <*>,34
a5714044,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,22
e3b61a44,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = <*>,11
d55c01ba,"ARPT: <*>: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*>, Ack <*>, Win size <*>",10
6897a1e4,<*>::IO80211Interface::postMessage bssid changed,10
637be545,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = <*> dlla_reporting_supported = <*>,6
32a6c27d,mDNS_RegisterInterface: Frequent transitions for interface <*> (<*>),4
