EventId,EventTemplate,Occurrences
f7fe7f88,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,85
9302fad4,Invalid user <*> from <*>,113
6b674ff1,input_userauth_request: invalid user <*> [preauth],113
0849a7d0,pam_unix(sshd:auth): check pass; user unknown,135
e0a8b45a,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>,110
21bb6d0e,Failed password for invalid user <*> from <*> port <*> ssh2,135
2491ca3e,Connection closed by <*> [preauth],34
7e3ab1bb,Received disconnect from <*>: <*>: Bye Bye [preauth],413
f6f1dd18,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>,384
f831cb6d,Failed password for <*> from <*> port <*> ssh2,383
b542638e,message repeated <*> times: [ Failed password for root from <*> port <*> ssh2],2
509a487f,Disconnecting: Too many authentication failures for <*> [preauth],3
cbf938f4,PAM <*> more authentication failures; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=root,2
2f2318e5,PAM service(sshd) ignoring max retries; <*> > <*>,7
c926c7d9,Did not receive identification string from <*>,10
8f56eb3b,error: Received disconnect from <*>: <*>: <*>: Auth fail [preauth],2
83d20af6,Received disconnect from <*>: <*>: Closed due to user request. [preauth],7
2702de18,Failed none for invalid user <*> from <*> port <*> ssh2,4
afe18846,PAM <*> more authentication failure<s>; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>,8
e2390d93,error: Received disconnect from <*>: <*>: No more user authentication methods available. [preauth],45
e879f754,Accepted password for fztu from <*> port <*> ssh2,1
cb82654d,pam_unix(sshd:session): session opened for user fztu by (uid=<*>),1
d38d93bd,Received disconnect from <*>: <*>: disconnected by user,1
cfe22f2e,pam_unix(sshd:session): session closed for user fztu,1
f32f0642,fatal: Write failed: Connection reset by peer [preauth],1
