EventId,EventTemplate,Occurrences
3be46d32,session closed for user root,24
48f29deb,session opened for user root by (uid=<*>),19
d6270494,(root) CMD (<*> <*>),19
3ee176f1,data_thread() got not answer from any [<*>] datasource,819
75133fe6,"synchronized to <*>, stratum <*>",567
c8da9b23,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,62
1a7e1918,[ib_sm_sweep.c:<*>]: No topology change,62
8710d3e6,[ib_sm_sweep.c:<*>]: No configuration change required,62
880f1546,Local disconnected: Connection closed.,3
f2f7a33e,connection lost: 'Connection closed.',3
253541cd,unable to qualify my own domain name (<*>) -- using short name,10
5e52d478,"<*>: from=root, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=#7#@localhost",10
71fe150d,"<*>: to=root, ctladdr=root (<*>), delay=<*>:<*>:<*>, xdelay=<*>:<*>:<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=Deferred: Connection refused by [<*>]",10
c2fb878f,DHCPDISCOVER from <*> via <*>,5
f3199503,DHCPOFFER on <*> to <*> via <*>,5
22527355,DHCPDISCOVER from <*> via <*>: network <*>: no free leases,15
e8b0f746,DHCPACK on <*> to <*> via <*>,3
df288d5d,DHCPREQUEST for <*> (<*>) from <*> via <*>,3
04eee795,START: tftp pid=<*> from=<*>,1
2e781f42,DHCPREQUEST for <*> (<*>) from <*> via <*>: unknown lease <*>.,9
8210ae06,RRD_update (<*> Nodes/<*>/pkts_out.rrd): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),10
97e54efd,kernel time sync disabled <*>,1
ad3dfbf4,time reset <*> s,1
4f67b71e,Received SNMP packet(s) from <*>,1
5fae3f9b,"synchronized to LOCAL(<*>), stratum <*>",1
b909c55d,kernel time sync enabled <*>,1
eb8ff471,My unqualified host name (<*>) unknown; sleeping for retry,5
3956ae6c,CentOS-4 (Kernel Module GPG key),1
61ddf178,(supports S0 S4 S5),1
f80ebcf5,DSDT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000e) @ 0x0000000000000000,1
8ac72be5,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>,2
56c8a3e3,HPET (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd81c,1
37026deb,HPET id: 0xffffffff base: 0xfed00000,1
69b9a4f8,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> dfl dfl),1
c234208b,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> high level),1
d11fca4f,IOAPIC (id[<*>] address[<*>] gsi_base[<*>]),3
848d9c3a,<*> used by override.,3
2188fc64,Interpreter enabled,1
c7a09e88,LAPIC (acpi_id[<*>] lapic_id[<*>] enabled),4
a417ebad,LAPIC_NMI (acpi_id[<*>] high edge lint[0x1]),4
a9781187,Local APIC address 0xfee00000,1
3c74f147,MADT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd724,1
0b137edc,MCFG (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd854,1
a5e14e44,PCI Interrupt Link [<*>] (IRQs <*>) <*>,2
d9ada782,PCI Interrupt Link [<*>] (IRQs <*>),1
906d7cd4,"PCI Interrupt Link [<*>] (IRQs <*>) <*>, disabled.",5
215c7299,PCI Interrupt Routing Table [<*>],10
eda250f2,PCI Root Bridge [PCI0] (<*>:<*>),1
b9aebedd,"PCI interrupt <*>:<*>:<*>[A] -> GSI <*> (level, low) -> IRQ <*>",11
04ea23b0,Power Button (FF) [PWRF],1
5005632d,Processor [<*>] (supports C1),4
7be80732,RSDP (v000 DELL ) @ 0x00000000000fd650,1
d71f6b17,RSDT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd664,1
54e256e6,Subsystem revision <*>,1
5925103d,Using IOAPIC for interrupt routing,1
f7c2cb75,Intel(R) Xeon(TM) CPU 3.60GHz stepping <*>,1
9ee8ca01,L2 cache: 2048K,5
ee83b678,Physical Processor ID: <*>,5
c5862456,"Trace cache: 12K uops, L1 D cache: 16K",5
b6d701a5,colour VGA+ 80x25,1
a0162353,mounted filesystem with ordered data mode.,3
39b4c11a,"sys_ia32.c,v <*> <*> <*> ak Exp $",1
39d024d4,"apic_id <*>, version <*>, address <*>, GSI <*>",3
9c4b1097,"routing cache hash table of <*> buckets, 1024Kbytes",1
fdb217dd,PCI Hot Plug PCI Core version: <*>,1
8cbdc37e,root=<*> initrd=<*> console=<*> console=<*> fastboot BOOT_IMAGE=<*>,1
c47c3599,Registered protocol family <*>,5
f927eeab,Using software bounce buffering for IO (SWIOTLB),1
c9eb3a70,Probing PCI hardware (bus <*>),1
967c9534,Transparent bridge - <*>,1
a18fe907,Using ACPI for IRQ routing,1
a60bce0b,Using MMCONFIG at e0000000,1
415e7cee,Using configuration type <*>,1
4211e0af,Compressed image found at block <*>,1
b79ffc59,Disabled at runtime.,1
7f533fb9,Initializing.,1
4e48601f,Registering netfilter hooks,1
25ea518d,Starting in permissive mode,1
e3539859,Unregistering netfilter hooks,1
1969627b,Hash tables configured (established <*> bind <*>),1
7409c064,Direct-Access ANSI SCSI revision: <*>,1
c0eb874d,Processor ANSI SCSI revision: <*>,1
75765837,Disk quotas dquot_6.5.1,1
13481907,Mounted root (ext2 filesystem).,1
d84b26f6,MegaRAID Model: LD <*> RAID1 139G Rev: 516A,1
728d4ef5,PE/PV Model: 1x2 SCSI BP Rev: <*>,1
84d10a1e,initialized,1
8bd4b5f8,initializing netlink socket (disabled),1
f36e8103,passed.,1
cfd885de,4.1.0-ioctl (<*>) initialised: #36#@#37#,1
b3dc57c4,allocating divert_blk for <*>,2
cafdce56,not allocating divert_blk for non-ethernet device <*>,2
089f18f6,v2.0:USB HID core driver,1
a455dc76,<*>: e1000_probe: Intel(R) PRO/1000 Network Connection,2
90d144b9,eth0: e1000_watchdog: NIC Link is Up <*> Mbps Full Duplex,1
16483862,no floppy controllers found,1
1d7c8312,RNG not detected,1
708630cc,Wait for ready failed before probe !,6
e5fe6b9c,Assuming 33MHz system bus speed for PIO modes; override with idebus=xx,1
9b41ee31,Unknown cmd fd(<*>) cmd(<*>){00} arg(ffffda44) on /dev/sda,1
67669ebc,(C) <*> Netfilter core team,4
bfcd95ed,Installing public key data,1
726fd8e7,<*> autorun DONE.,2
953a8d97,Autodetecting RAID arrays.,2
7e463e0d,autorun <*>,2
153947c0,"md driver <*> MAX_MD_DEVS=<*>, MD_SB_DISKS=<*>",1
7f1d562c,#<*># <*> (Release Date: <*>),2
4e8904d6,fw version:[516A] bios version:[H418],1
e88f2f67,probe new device <*>: bus <*>:slot <*>:func <*>,1
a2351676,PS/2 mouse device common for all mice,1
300eee54,v2.0 (<*>),1
25830347,rpc.statd startup succeeded,1
7d73b4c5,portmap startup succeeded,1
2d44d780,Starting ts_fixup: succeeded,1
268e6e9a,Version <*> Starting,1
7f146802,LSI Logic MegaRAID driver,1
fad437e1,scanning scsi channel <*> [Phy <*>] for non-raid devices,1
19d28e10,scanning scsi channel <*> [virtual] for logical drives,1
6a604788,asking for cache data failed,1
4d12f6fa,assuming drive cache: write through,1
