EventId,EventTemplate,Occurrences
286299e2,Notification time out: <*>,37
9879a9ab,Received connection request <*>,299
7a2ec7d0,Send worker leaving thread,262
45a3ec5d,Interrupted while waiting for message on queue,314
d91560a0,"Connection broken for id <*>, my id = <*>, error =",291
273e53f2,Interrupting SendWorker,266
20d23992,Closed socket connection for client <*> which had sessionid <*>,44
ecefe136,caught end of stream exception,37
b369174c,Client attempting to renew session <*> at <*>,3
00a8e7f7,Client attempting to establish new session at <*>,41
37ce0325,Established session <*> with negotiated timeout <*> for client <*>,50
abe76bf8,Accepted socket connection from <*>,48
63d9783e,Unexpected Exception:,1
1bc7bc65,Connection request from old client <*>; will be dropped if server is in r-o mode,39
eeb38d12,Server environment:user.dir=/,1
1e7a3631,Cannot open channel to <*> at election address <*>,86
61a003ea,Processed session termination for sessionid: <*>,47
5c6297d7,"Expiring session <*>, timeout of <*> exceeded",40
f311a57e,******* GOODBYE <*> ********,19
00078e14,LOOKING,4
4cbab665,My election bind port: <*><*>,1
0d395a72,"Have smaller server identifier, so dropping the connection: (<*>, <*>)",1
c172d526,FOLLOWING,2
32929093,"New election. My id =  <*>, proposed zxid=0x700000000",1
b8f3b053,Server environment:<*>=<*>,6
a1237171,FOLLOWING - LEADER ELECTION TOOK - <*>,2
cd9a2201,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), <*> (n.state), <*> (n.sid), <*> (n.peerEPoch), <*> (my state)",12
e43b00c9,autopurge.snapRetainCount set to <*>,1
d961f4e8,Server environment:java.vendor=Oracle Corporation,2
1caefedb,Revalidating client: <*>,3
3c3d9453,"Server environment:zookeeper.version=<*>, built on <*>",1
bed3680d,Closed socket connection for client <*> (no session established for client),4
ecf6827a,Exception causing close of session 0x0 due to java.io.IOException: ZooKeeperServer not running,3
5ccf7096,tickTime set to <*>,1
0cf47064,Unexpected exception causing shutdown while sock still open,12
eee2c773,Got user-level KeeperException when processing sessionid:<*> type:<*> cxid:<*> zxid:<*> txntype:<*> reqpath:<*> Error Path:<*> Error:<*> for <*>,1
d459c04c,Starting quorum peer,1
dfd8b545,Snapshotting: <*> to <*>,2
bde42fae,autopurge.purgeInterval set to <*>,3
7c6c9afa,Follower sid: <*> : info : <*>,1
a9085761,maxSessionTimeout set to <*>,1
afdba97b,Server environment:java.class.path=<*>,1
a3e8a36b,Have quorum of supporters; starting up and setting last processed zxid: 0xb00000000,1
c7ef5ae9,shutdown of request processor complete,1
9cb3def4,First is 0x0,1
a9459b27,Reading snapshot /var/lib/zookeeper/version-2/snapshot.b00000084,1
9d86801d,Sending DIFF,1
4c5926a1,Getting a snapshot from leader,2
08b832eb,minSessionTimeout set to <*>,2
