Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,9.40,9,8,0.526,0.000,0.824,0.000,0.000,0.000
Linux,78.58,117,118,0.749,0.451,0.936,0.632,0.627,0.630
Apache,9.17,6,6,1.000,1.000,1.000,1.000,1.000,1.000
Zookeeper,21.33,49,50,0.989,0.667,0.869,0.510,0.500,0.505
Hadoop,50.51,106,114,0.980,0.470,0.909,0.660,0.614,0.636
HealthApp,28.43,72,75,0.900,0.553,0.939,0.639,0.613,0.626
OpenStack,27.15,43,43,1.000,0.470,1.000,0.837,0.837,0.837
HPC,44.42,44,46,0.903,0.657,0.889,0.591,0.565,0.578
Mac,162.45,316,341,0.835,0.406,0.877,0.487,0.452,0.469
OpenSSH,22.53,25,26,0.996,0.992,0.941,0.720,0.692,0.706
Spark,7.99,33,36,0.922,0.883,0.870,0.727,0.667,0.696
Thunderbird,74.61,152,149,0.677,0.885,0.910,0.539,0.550,0.545
BGL,53.10,112,120,0.967,0.923,0.888,0.634,0.592,0.612
HDFS,14.36,14,14,1.000,0.500,1.000,0.357,0.357,0.357
